#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120  28
# Band-Index    1
   4.12689    -13.309480    -13.307366
   4.04821    -13.351437    -13.350241
   3.96953    -13.392143    -13.391990
   3.89085    -13.428186    -13.429138
   3.81217    -13.457264    -13.459346
   3.73350    -13.478089    -13.481275
   3.65482    -13.490556    -13.494778
   3.57614    -13.495285    -13.500441
   3.49746    -13.493611    -13.499570
   3.41878    -13.487170    -13.493784
   3.34010    -13.477811    -13.484928
   3.26143    -13.467434    -13.474911
   3.18275    -13.457564    -13.465277
   3.10407    -13.449579    -13.457433
   3.02539    -13.444358    -13.452271
   2.94671    -13.442587    -13.450533
   2.94671    -13.442587    -13.450533
   2.88247    -13.443350    -13.451272
   2.81823    -13.445624    -13.453474
   2.75399    -13.449367    -13.457098
   2.68975    -13.454490    -13.462059
   2.62551    -13.460836    -13.468204
   2.56127    -13.468264    -13.475393
   2.49703    -13.476567    -13.483427
   2.43279    -13.485508    -13.492074
   2.36855    -13.494909    -13.501163
   2.30431    -13.504446    -13.510379
   2.24007    -13.513884    -13.519496
   2.17583    -13.522968    -13.528268
   2.11159    -13.531405    -13.536410
   2.04735    -13.539025    -13.543763
   1.98311    -13.545570    -13.550076
   1.91887    -13.550870    -13.555187
   1.85463    -13.554774    -13.558952
   1.79039    -13.557164    -13.561256
   1.72615    -13.557965    -13.562028
   1.72615    -13.557965    -13.562028
   1.68072    -13.557140    -13.561230
   1.63530    -13.554701    -13.558873
   1.58987    -13.550671    -13.554976
   1.54445    -13.545167    -13.549656
   1.49902    -13.538365    -13.543082
   1.45360    -13.530420    -13.535407
   1.40817    -13.521512    -13.526801
   1.36275    -13.511894    -13.517512
   1.31732    -13.501809    -13.507773
   1.27190    -13.491510    -13.497832
   1.22647    -13.481323    -13.488001
   1.18105    -13.474071    -13.478529
   1.13562    -13.496914    -13.498692
   1.09020    -13.517406    -13.520149
   1.04477    -13.534979    -13.538580
   0.99935    -13.549174    -13.553488
   0.95392    -13.559600    -13.564450
   0.90850    -13.565971    -13.571152
   0.86307    -13.568090    -13.573384
   0.86307    -13.568090    -13.573384
   0.81765    -13.567285    -13.572595
   0.77222    -13.564816    -13.570177
   0.72680    -13.560767    -13.566210
   0.68137    -13.555233    -13.560789
   0.63595    -13.548388    -13.554085
   0.59052    -13.540359    -13.546222
   0.54510    -13.531372    -13.537420
   0.49967    -13.521659    -13.527910
   0.45425    -13.511488    -13.517952
   0.40882    -13.501117    -13.507800
   0.36340    -13.490841    -13.497742
   0.31797    -13.480969    -13.486078
   0.27255    -13.471707    -13.469515
   0.22712    -13.458024    -13.454688
   0.18170    -13.445757    -13.449629
   0.13627    -13.442035    -13.450007
   0.09085    -13.442336    -13.450294
   0.04542    -13.442524    -13.450473
   0.00000    -13.442587    -13.450533
 
# Band-Index    7
   0.00000    -13.422732    -13.418386
   0.04542    -13.424214    -13.419910
   0.09085    -13.428612    -13.424433
   0.13627    -13.435858    -13.431884
   0.18170    -13.441636    -13.442065
   0.22712    -13.441084    -13.449101
   0.27255    -13.440489    -13.448534
   0.31797    -13.439832    -13.447910
   0.36340    -13.439112    -13.447225
   0.40882    -13.438379    -13.446528
   0.45425    -13.437635    -13.445820
   0.49967    -13.436907    -13.445129
   0.54510    -13.436204    -13.444460
   0.59052    -13.435549    -13.443837
   0.63595    -13.434960    -13.443278
   0.68137    -13.434455    -13.442797
   0.72680    -13.434046    -13.442408
   0.77222    -13.433744    -13.442122
   0.81765    -13.433559    -13.441946
   0.86307    -13.433465    -13.441855
   0.86307    -13.433465    -13.441855
   0.90850    -13.434374    -13.442731
   0.95392    -13.436974    -13.445237
   0.99935    -13.441220    -13.449328
   1.04477    -13.446982    -13.454883
   1.09020    -13.454076    -13.461721
   1.13562    -13.462342    -13.469691
   1.18105    -13.471505    -13.474821
   1.22647    -13.449514    -13.449208
   1.27190    -13.423898    -13.422551
   1.31732    -13.397994    -13.395657
   1.36275    -13.374456    -13.379311
   1.40817    -13.376484    -13.381665
   1.45360    -13.377442    -13.382936
   1.49902    -13.377506    -13.383283
   1.54445    -13.376858    -13.382873
   1.58987    -13.375911    -13.382114
