     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -14.62756     0.26027    -0.25656     0.00000    -0.00000     0.03456    -0.03419
   -14.55056     0.38904    -0.38541     0.00000    -0.00000     0.04857    -0.04820
   -14.47456     0.48057    -0.47903     0.00000    -0.00000     0.05857    -0.05844
   -14.39856     0.48185    -0.48322     0.00000    -0.00000     0.05882    -0.05900
   -14.32156     0.40198    -0.40509     0.00000    -0.00000     0.05059    -0.05094
   -14.24556     0.29894    -0.30188     0.00000    -0.00000     0.04011    -0.04042
   -14.16956     0.22172    -0.22343     0.00000    -0.00000     0.03246    -0.03266
   -14.09256     0.18379    -0.18449     0.00000    -0.00000     0.02922    -0.02929
   -14.01656     0.18037    -0.18003     0.00000    -0.00000     0.03040    -0.03033
   -13.94056     0.20941    -0.20816     0.00000    -0.00000     0.03659    -0.03638
   -13.86356     0.27275    -0.27077     0.00000    -0.00000     0.04860    -0.04824
   -13.78756     0.35470    -0.35271     0.00000    -0.00000     0.06376    -0.06342
   -13.71156     0.40828    -0.40772     0.00000    -0.00000     0.07364    -0.07357
   -13.63456     0.38463    -0.38639     0.00000    -0.00000     0.06948    -0.06983
   -13.55856     0.28497    -0.28812     0.00000    -0.00000     0.05151    -0.05212
   -13.48256     0.16279    -0.16576     0.00000    -0.00000     0.02943    -0.02998
   -13.40556     0.07095    -0.07276     0.00000    -0.00000     0.01283    -0.01316
   -13.32956     0.02347    -0.02425     0.00000    -0.00000     0.00424    -0.00439
   -13.25256     0.00587    -0.00611     0.00000    -0.00000     0.00106    -0.00111
   -13.17656     0.00111    -0.00116     0.00000    -0.00000     0.00020    -0.00021
   -13.10056     0.00016    -0.00017     0.00000    -0.00000     0.00003    -0.00003
   -13.02356     0.00002    -0.00002     0.00000    -0.00000     0.00000    -0.00000
   -12.94756     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -12.87156     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -12.79456     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -12.71856     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -12.64256     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -12.56556     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -12.48956     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -12.41356     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.33656     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.26056     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.18456     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.10756     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.03156     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.95556     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.87856     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.80256     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.72556     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.64956     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.57356     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.49656     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
