   #Energy      xx(%)           yy(%)
  0.33149400E+02  0.97081492E+02  0.96737478E+02
  0.33232700E+02  0.97085053E+02  0.96780808E+02
  0.33316000E+02  0.97156613E+02  0.96814741E+02
  0.33399300E+02  0.97273260E+02  0.96821092E+02
  0.33482600E+02  0.97391353E+02  0.96801385E+02
  0.33565900E+02  0.97486369E+02  0.96775220E+02
  0.33649100E+02  0.97557789E+02  0.96780761E+02
  0.33732400E+02  0.97615456E+02  0.96834612E+02
  0.33815700E+02  0.97665303E+02  0.96923492E+02
  0.33899000E+02  0.97709342E+02  0.97019501E+02
  0.33982300E+02  0.97749609E+02  0.97104278E+02
  0.34065600E+02  0.97784076E+02  0.97169372E+02
  0.34148900E+02  0.97793995E+02  0.97218553E+02
  0.34232200E+02  0.97776982E+02  0.97247506E+02
  0.34315500E+02  0.97732729E+02  0.97260070E+02
  0.34398800E+02  0.97681828E+02  0.97264388E+02
  0.34482000E+02  0.97643036E+02  0.97262461E+02
  0.34565300E+02  0.97631196E+02  0.97260483E+02
  0.34648600E+02  0.97640412E+02  0.97262683E+02
  0.34731900E+02  0.97649923E+02  0.97264992E+02
  0.34815200E+02  0.97634414E+02  0.97259056E+02
  0.34898500E+02  0.97578788E+02  0.97225927E+02
  0.34981800E+02  0.97491148E+02  0.97161034E+02
  0.35065100E+02  0.97390285E+02  0.97083017E+02
  0.35148400E+02  0.97305824E+02  0.97021284E+02
  0.35231700E+02  0.97244272E+02  0.96997175E+02
  0.35314900E+02  0.97201592E+02  0.96998487E+02
  0.35398200E+02  0.97169402E+02  0.97000006E+02
  0.35481500E+02  0.97143484E+02  0.96986740E+02
  0.35564800E+02  0.97125992E+02  0.96964830E+02
  0.35648100E+02  0.97119180E+02  0.96949104E+02
  0.35731400E+02  0.97123174E+02  0.96956777E+02
  0.35814700E+02  0.97125205E+02  0.96990296E+02
  0.35898000E+02  0.97114514E+02  0.97034998E+02
  0.35981300E+02  0.97077948E+02  0.97073774E+02
  0.36064500E+02  0.97010947E+02  0.97089146E+02
  0.36147800E+02  0.96930498E+02  0.97080761E+02
  0.36231100E+02  0.96862526E+02  0.97054873E+02
  0.36314400E+02  0.96824514E+02  0.97033126E+02
  0.36397700E+02  0.96812482E+02  0.97019994E+02
  0.36481000E+02  0.96809289E+02  0.97004688E+02
  0.36564300E+02  0.96788735E+02  0.96984988E+02
  0.36647600E+02  0.96748309E+02  0.96956397E+02
  0.36730900E+02  0.96707414E+02  0.96927629E+02
  0.36814200E+02  0.96696692E+02  0.96905319E+02
  0.36897400E+02  0.96731916E+02  0.96889546E+02
  0.36980700E+02  0.96815959E+02  0.96878145E+02
  0.37064000E+02  0.96934169E+02  0.96871131E+02
  0.37147300E+02  0.97060421E+02  0.96872970E+02
  0.37230600E+02  0.97170151E+02  0.96883837E+02
  0.37313900E+02  0.97256095E+02  0.96897150E+02
  0.37397200E+02  0.97324597E+02  0.96894993E+02
  0.37480500E+02  0.97386705E+02  0.96874907E+02
  0.37563800E+02  0.97451463E+02  0.96850148E+02
  0.37647100E+02  0.97514461E+02  0.96831942E+02
  0.37730300E+02  0.97573403E+02  0.96824954E+02
  0.37813600E+02  0.97625941E+02  0.96826982E+02
  0.37896900E+02  0.97672062E+02  0.96831350E+02
  0.37980200E+02  0.97700227E+02  0.96842607E+02
  0.38063500E+02  0.97694125E+02  0.96858574E+02
  0.38146800E+02  0.97637201E+02  0.96872468E+02
  0.38230100E+02  0.97528930E+02  0.96879726E+02
  0.38313400E+02  0.97401294E+02  0.96871086E+02
  0.38396700E+02  0.97309669E+02  0.96841762E+02
  0.38480000E+02  0.97282293E+02  0.96800795E+02
  0.38563200E+02  0.97308319E+02  0.96748101E+02
  0.38646500E+02  0.97355796E+02  0.96685901E+02
  0.38729800E+02  0.97401541E+02  0.96618675E+02
  0.38813100E+02  0.97436017E+02  0.96564758E+02
  0.38896400E+02  0.97456734E+02  0.96547401E+02
  0.38979700E+02  0.97468190E+02  0.96578549E+02
  0.39063000E+02  0.97475028E+02  0.96654297E+02
  0.39146300E+02  0.97474922E+02  0.96749580E+02
  0.39229600E+02  0.97467821E+02  0.96838891E+02
  0.39312900E+02  0.97434769E+02  0.96905491E+02
  0.39396100E+02  0.97370748E+02  0.96951319E+02
  0.39479400E+02  0.97268390E+02  0.96990322E+02
  0.39562700E+02  0.97144090E+02  0.97027212E+02
  0.39646000E+02  0.97012038E+02  0.97059705E+02
  0.39729300E+02  0.96893505E+02  0.97073490E+02
  0.39812600E+02  0.96817045E+02  0.97058749E+02
  0.39895900E+02  0.96804356E+02  0.97017603E+02
  0.39979200E+02  0.96851433E+02  0.96949871E+02
  0.40062500E+02  0.96935200E+02  0.96872119E+02
  0.40145800E+02  0.97017630E+02  0.96798743E+02
  0.40229000E+02  0.97072053E+02  0.96756237E+02
  0.40312300E+02  0.97088266E+02  0.96737735E+02
  0.40395600E+02  0.97072972E+02  0.96721818E+02
  0.40478900E+02  0.97037983E+02  0.96684376E+02
  0.40562200E+02  0.97012281E+02  0.96613071E+02
  0.40645500E+02  0.97008308E+02  0.96512548E+02
  0.40728800E+02  0.97023978E+02  0.96387569E+02
  0.40812100E+02  0.97044849E+02  0.96233354E+02
  0.40895400E+02  0.97058770E+02  0.96030609E+02
  0.40978700E+02  0.97048480E+02  0.95752875E+02
  0.41061900E+02  0.96996554E+02  0.95400302E+02
  0.41145200E+02  0.96877921E+02  0.95046956E+02
  0.41228500E+02  0.96694462E+02  0.94818345E+02
